"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"4/5/2024","Interlibrary Loan","St Louis County Library","1412 S Spoede Rd Saint Louis MO 63131-2557","US","Library Mail","4.62","2 lbs ","17"
"4/4/2024","Booth Library - Interlibrary Loan","Eastern Illinois University","600 Lincoln Ave Charleston IL 61920-3099","US","Library Mail","6.72","5 lbs ","17"
"4/4/2024","Interlibrary Loan","Boston Public Library","700 Boylston St Boston MA 02116-2813","US","Library Mail","5.32","3 lbs ","17"
"4/4/2024","Interlibrary Loan Dept","Orange County Public Libraries","1501 E Saint Andrew Pl Santa Ana CA 92705-4928","US","Library Mail","3.92","1 lbs ","17"
"4/17/2024","Interlibrary Loan Dept","Orange County Public Libraries","""1501 E Saint Andrew Pl, Fl 2nd Santa Ana CA 92705-4928""","US","Library Mail","6.02","4 lbs ","17"
"8/16/2024","Nereida Richey - ILL clerk","Albany Public Library","2450 14th Ave SE Albany OR 97322-6880","US","Library Mail","4.40","1 lbs ","17"
"4/11/2024","Interlibrary Loan","Glendale Public Library","5959 W Brown St Glendale AZ 85302-1200","US","Library Mail","3.92","1 lbs ","17"
"4/29/2024","Interlibrary Loan","Scottsdale Public Library","3839 N Drinkwater Blvd Scottsdale AZ 85251-4467","US","Library Mail","4.62","1 lbs 9.60 oz","16"
"4/29/2024","Interlibrary Loan Dept","Monterey County Free Libraries","188 Seaside Cir Marina CA 93933-2500","US","Library Mail","4.62","2 lbs ","16"
"4/29/2024","Interlibrary Loan","Kuna Library","PO Box 129 Kuna ID 83634-0129","US","Library Mail","3.92","1 lbs ","16"
"4/26/2024","ILL Dept","University of Texas Arlington","702 Planetarium Pl Box 19497 Arlington TX 76019-0001","US","Library Mail","6.02","4 lbs ","16"
"4/15/2024","O'Neill Library ILL Department","Boston College","140 Comm Ave Chestnut Hill MA 02467-3858","US","Library Mail","4.62","2 lbs ","16"
"4/4/2024","InterLibrary Loan","Fountaindale Public Library","300 W Briarcliff Rd Bolingbrook IL 60440-2894","US","Library Mail","4.62","2 lbs ","16"
"4/2/2024","Interlibrary Loan","Prescott Public Library","215 E Goodwin St Prescott AZ 86303-3911","US","Library Mail","4.62","2 lbs ","16"
"4/16/2024","Interlibrary Document Services","New York Public Library","""11 W 40th St, Frnt South Court Mezzanine New York NY 10018-2668""","US","Library Mail","4.62","2 lbs ","16"
"4/26/2024","Interlibrary Loan","Skokie Public Library","5215 Oakton St Skokie IL 60077-3680","US","Library Mail","5.32","3 lbs ","16"
"4/11/2024","Interlibrary Loan Dept","Westchester Library System","""570 Taxter Rd, Ste 400 Elmsford NY 10523-2361""","US","Library Mail","3.92","1 lbs ","16"
"4/9/2024","Zuhl Library - ILL","New Mexico State University","""PO Box 30006, MSC 3475 1305 Frenger Mall Las Cruces NM 88003-8006""","US","Library Mail","4.62","1 lbs 12.80 oz","16"
"4/4/2024","RSDD-Merrill-Cazier Library","","3045 Old Main Hl Logan UT 84322-3045","US","Library Mail","3.92","1 lbs ","16"
"4/15/2024","ILL Department","Siouxland Libraries","PO Box 7403 Sioux Falls SD 57117-7403","US","Library Mail","5.32","3 lbs ","15"
"4/11/2024","Interlibrary Loan","Santa Monica Public Library","PO Box 1610 Santa Monica CA 90406-1610","US","Library Mail","4.62","2 lbs ","15"
"4/16/2024","Interlibrary Loan","Georgetown University","37th & O Sts NW Box 571174 Washington DC 20057-0001","US","Library Mail","3.92","1 lbs ","15"
"8/22/2024","Interlibrary Loan","Washoe County Library System","PO Box 2151 Reno NV 89505-2151","US","Library Mail","4.4","1 lbs ","15"
"4/23/2024","Interlibrary Loan","The Master's College Library","21726 Placerita Cyn Rd Santa Clarita CA 91321-1200","US","Library Mail","3.92","1 lbs ","15"
"4/16/2024","Nelson Memorial Library - ILL Dept","Pacific Union College","1 Angwin Ave Angwin CA 94508-9797","US","Library Mail","3.92","1 lbs ","15"
"2/28/2024","Interlibrary Loan","Marshall Public Library","113 S Garfield Ave Pocatello ID 83204-3235","US","Library Mail","4.62","2 lbs ","15"
